Jul,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Precipitation (in),Max Temperature (° C),Avg Temperature (° C),Min Temperature (° C)
1,87,80.3,73,70,66.9,62,81,64.2,55,20,12,7,29.9,29.9,29.8,0,30.55555556,26.83333333,22.77777778
2,90,78.8,73,72,70.2,66,94,75.8,52,22,10.4,0,29.9,29.9,29.8,0,32.22222222,26,22.77777778
3,88,78.1,70,72,70,66,91,76.9,58,26,8.4,0,30,29.9,29.9,0.65,31.11111111,25.61111111,21.11111111
4,74,69.9,66,68,62.3,51,94,77.8,57,22,12.3,0,30,29.9,29.9,0.71,23.33333333,21.05555556,18.88888889
5,82,74,65,51,49.3,46,58,43,30,21,14,9,30.1,30.1,30,0.16,27.77777778,23.33333333,18.33333333
6,86,78.4,70,61,52.5,49,60,41.6,29,18,10.9,3,30.1,30,29.9,0,30,25.77777778,21.11111111
7,92,83,73,65,62,60,68,50.4,34,24,14.8,8,29.9,29.8,29.7,0,33.33333333,28.33333333,22.77777778
8,93,81.5,72,69,66.5,63,84,61.8,37,30,12.3,5,29.8,29.7,29.6,0.18,33.88888889,27.5,22.22222222
9,87,79.5,73,69,63.6,56,76,59.5,36,17,9,0,29.9,29.9,29.8,0,30.55555556,26.38888889,22.77777778
10,81,75.5,70,63,60.8,59,78,60.8,47,12,6.7,3,30.1,30.1,29.9,0,27.22222222,24.16666667,21.11111111
11,84,76.4,71,64,58.7,52,78,55.9,35,12,7.6,3,30.2,30.2,30.1,0,28.88888889,24.66666667,21.66666667
12,86,77.1,71,65,61.5,55,81,60.4,37,18,9.5,0,30.2,30.2,30.1,0,30,25.05555556,21.66666667
13,81,75.4,72,70,67.6,64,87,76.6,65,22,11.5,6,30.1,30,29.9,0,27.22222222,24.11111111,22.22222222
14,84,76.6,72,72,70.2,68,94,81,63,12,6.3,0,29.9,29.9,29.8,0.41,28.88888889,24.77777778,22.22222222
15,86,75.5,71,75,70.7,68,94,85.3,61,17,7.9,3,29.8,29.8,29.7,0.57,30,24.16666667,21.66666667
16,82,74.2,69,70,62.8,54,94,70.9,40,15,6.4,0,29.9,29.8,29.7,0.93,27.77777778,23.44444444,20.55555556
17,81,74.4,68,59,55.1,51,68,51.6,39,15,6.7,0,30.1,30,29.9,0,27.22222222,23.55555556,20
18,81,74.8,68,59,52.2,47,73,47,32,10,6.3,3,30.2,30.2,30.1,0,27.22222222,23.77777778,20
19,77,72,69,65,59.3,52,78,65.2,45,12,7.2,0,30.2,30.2,30.1,0,25,22.22222222,20.55555556
20,75,71.3,67,62,59.8,54,79,67.5,48,16,9.7,0,30.1,30.1,30.1,0,23.88888889,21.83333333,19.44444444
21,83,74.7,67,64,61.1,58,81,63.5,42,16,6.5,0,30.2,30.1,30.1,0,28.33333333,23.72222222,19.44444444
22,85,79.2,73,66,63.5,58,66,58.9,51,18,9.3,0,30.1,30.1,30,0,29.44444444,26.22222222,22.77777778
23,88,80.8,74,72,68.2,62,77,65.7,57,17,10.3,6,30,29.9,29.7,0,31.11111111,27.11111111,23.33333333
24,80,75.3,72,68,60.9,53,82,62,39,14,9.3,5,29.9,29.8,29.8,0.12,26.66666667,24.05555556,22.22222222
25,82,74.8,67,61,55.1,52,64,51.3,35,12,7.8,0,30,30,29.9,0,27.77777778,23.77777778,19.44444444
26,81,75.7,71,67,61.1,54,79,61.4,44,14,9.5,6,30,29.9,29.9,0,27.22222222,24.27777778,21.66666667
27,87,79.3,72,72,68.2,64,84,69.7,46,15,9.6,5,29.8,29.7,29.6,0,30.55555556,26.27777778,22.22222222
28,84,75.2,69,73,63.3,57,94,68.5,41,21,12.8,5,29.7,29.6,29.5,0.26,28.88888889,24,20.55555556
29,76,70.3,65,57,52.1,49,68,53.6,40,21,10.3,5,30,29.9,29.7,0,24.44444444,21.27777778,18.33333333
30,81,73.2,65,59,52.1,43,68,49.5,27,15,7.7,3,30,30,29.9,0,27.22222222,22.88888889,18.33333333
31,82,75.9,70,66,58.8,54,73,56.1,44,17,10.3,3,30.1,30.1,30,0,27.77777778,24.38888889,21.11111111
